YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2021,"Maker, Makur",C,82.25,232.2,24.1,0.145,85.75,112.0,8.75,9.5,25.5,31.0,11.87,3.28,3.34,NA,104.3%,83.1,137.5,143.0
2021,"Mamukelashvili, Sandro",C,81.00,239.8,25.7,0.078,85.25,106.5,9.00,9.5,30.5,36.5,11.63,3.30,3.21,NA,105.2%,85.5,137.0,143.0
2021,"Mann, Tre",PG,75.25,177.6,22.0,0.041,76.00,98.5,8.00,9.0,NA,NA,NA,NA,NA,NA,101.0%,72.0,NA,NA
2021,"McBride, Miles",PG,73.00,195.2,25.8,0.060,80.75,99.5,9.00,9.5,31.0,38.5,11.08,3.13,3.10,NA,110.6%,85.5,130.5,138.0
2021,"Mitchell, Davion",PG,72.00,202.4,27.4,0.062,76.25,96.5,8.25,8.8,NA,NA,NA,NA,NA,NA,105.9%,72.2,NA,NA
2021,"Mobley, Isaiah",PF,80.00,238.0,26.1,0.129,87.00,107.5,9.00,10.0,26.5,32.0,12.70,3.50,3.30,NA,108.8%,90.0,134.0,139.5
2021,"Moody, Moses",SG,76.50,210.6,25.3,0.068,84.75,105.0,9.00,10.0,NA,NA,NA,NA,NA,NA,110.8%,90.0,NA,NA
2021,"Murphy III, Trey",SF,79.50,206.0,22.9,0.081,84.00,105.5,8.50,9.0,34.0,38.0,11.65,3.32,3.14,NA,105.7%,76.5,139.5,143.5
2021,"Nix, Daishen",PG,75.00,225.6,28.2,0.118,78.75,100.0,8.50,9.0,29.5,36.5,11.72,3.18,3.00,NA,105.0%,76.5,129.5,136.5
2021,"Petty Jr., John",SG,76.50,186.2,22.4,0.056,81.50,103.5,8.50,9.0,27.5,34.0,11.51,3.17,3.35,NA,106.5%,76.5,131.0,137.5
2021,"Pons, Yves",PF,77.50,206.4,24.2,0.040,84.75,104.0,9.00,9.3,36.0,42.5,10.89,3.05,3.10,NA,109.4%,83.3,140.0,146.5
2021,"Preston, Jason",PG,75.00,180.6,22.6,0.055,80.50,100.5,8.50,9.3,30.5,38.5,10.82,3.08,3.13,NA,107.3%,78.6,131.0,139.0
2021,"Primo, Joshua",SG,76.00,189.0,23.0,0.063,81.25,102.5,9.00,10.0,30.5,37.5,10.97,3.36,3.22,NA,106.9%,90.0,133.0,140.0
2021,"Prkacin, Roko",PF,79.50,225.4,25.1,0.070,83.00,107.0,8.75,9.3,NA,NA,NA,NA,NA,NA,104.4%,80.9,NA,NA
2021,"Queta, Neemias",C,83.25,248.4,25.2,0.076,88.00,112.5,9.25,10.5,27.0,33.0,11.85,3.50,3.29,NA,105.7%,97.1,139.5,145.5
2021,"Reaves, Austin",SG,76.50,197.2,23.7,0.110,78.25,101.0,8.00,8.3,25.0,35.0,10.94,3.19,3.07,NA,102.3%,66.0,126.0,136.0
2021,"Robinson-Earl, Jeremiah",PF,79.75,242.4,26.8,0.089,81.75,105.5,9.00,9.8,27.0,32.0,11.64,3.15,3.29,NA,102.5%,87.8,132.5,137.5
2021,"Sims, Jericho",C,81.00,250.2,26.8,0.055,87.25,106.0,9.00,9.8,37.0,44.5,11.59,3.38,3.05,NA,107.7%,87.8,143.0,150.5
2021,"Springer, Jaden",SG,75.00,202.0,25.2,0.063,79.75,99.0,8.50,9.8,34.5,41.5,11.46,3.10,3.13,NA,106.3%,82.9,133.5,140.5
2021,"Steward, DJ",PG,72.75,162.2,21.5,0.050,79.00,98.5,8.50,9.0,34.5,38.5,11.14,3.10,3.08,NA,108.6%,76.5,133.0,137.0
2021,"Thor, JT",PF,80.50,203.0,22.0,0.061,87.25,110.0,9.25,9.5,31.5,35.0,12.19,3.08,3.06,NA,108.4%,87.9,141.5,145.0
2021,"Todd, Isaiah",PF,80.75,219.0,23.6,0.062,85.25,107.5,9.00,9.8,28.5,35.5,11.38,3.25,3.31,NA,105.6%,87.8,136.0,143.0
2021,"Washington Jr., Duane",SG,74.25,196.8,25.1,0.051,79.75,101.0,8.25,8.8,29.5,35.5,11.50,3.06,3.17,NA,107.4%,72.2,130.5,136.5
2021,"Watford, Trendon",PF,79.50,237.4,26.4,0.101,86.25,105.0,9.50,9.5,28.0,35.0,11.69,3.23,3.27,NA,108.5%,90.3,133.0,140.0
2021,"Wieskamp, Joe",SF,77.75,204.8,23.8,0.041,83.00,103.0,8.50,9.3,30.0,42.0,10.70,3.18,3.04,NA,106.8%,78.6,133.0,145.0
2021,"Wiggins, Aaron",SG-SF,76.50,190.0,22.8,0.050,81.75,103.0,8.75,8.5,29.5,36.0,11.20,3.00,3.04,NA,106.9%,74.4,132.5,139.0
2021,"Williams, Ziaire",SF,80.25,188.4,20.6,0.044,82.25,106.5,9.00,8.8,34.0,39.5,10.69,3.04,3.12,NA,102.5%,78.8,140.5,146.0
2021,"Wright IV, McKinley",PG,71.25,192.2,26.6,0.067,77.25,94.0,8.50,9.0,31.5,38.0,10.76,3.12,3.08,NA,108.4%,76.5,125.5,132.0
2021,"Wright, Moses",PF,79.75,225.8,25.0,0.056,84.75,107.0,9.00,9.5,31.5,38.0,11.20,3.42,3.15,NA,106.3%,85.5,138.5,145.0
2021,"Zegarowski, Marcus",PG,72.75,180.8,24.0,0.072,74.75,96.0,8.00,9.5,30.0,35.5,11.47,3.26,3.11,NA,102.7%,76.0,126.0,131.5
